2022-03-30 15:17:47 INFO  FileWriter:27 - Создан файл Индонезия.txt
2022-03-30 15:17:47 INFO  FileWriter:42 - Файл 'Индонезия.txt' заполнен успешно
2022-03-30 15:17:52 INFO  FileWriter:35 - Старт заполнения файла 'Филиппины.txt'
2022-03-30 15:17:52 INFO  FileWriter:27 - Создан файл Филиппины.txt
2022-03-30 15:17:52 INFO  FileWriter:42 - Файл 'Филиппины.txt' заполнен успешно
2022-03-30 15:17:53 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Тайланд
2022-03-30 15:17:54 INFO  FileWriter:35 - Старт заполнения файла 'Сингапур.txt'
2022-03-30 15:17:54 INFO  FileWriter:27 - Создан файл Сингапур.txt
2022-03-30 15:17:54 INFO  FileWriter:42 - Файл 'Сингапур.txt' заполнен успешно
2022-03-30 15:17:59 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Казахстан
2022-03-30 15:18:03 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Вьетнам
2022-03-30 15:18:19 INFO  FileWriter:35 - Старт заполнения файла 'Тайланд.txt'
2022-03-30 15:18:19 INFO  FileWriter:27 - Создан файл Тайланд.txt
2022-03-30 15:18:19 INFO  FileWriter:42 - Файл 'Тайланд.txt' заполнен успешно
2022-03-30 15:18:19 INFO  FileWriter:35 - Старт заполнения файла 'Казахстан.txt'
2022-03-30 15:18:19 INFO  FileWriter:27 - Создан файл Казахстан.txt
2022-03-30 15:18:19 INFO  FileWriter:42 - Файл 'Казахстан.txt' заполнен успешно
2022-03-30 15:18:25 INFO  FileWriter:35 - Старт заполнения файла 'Вьетнам.txt'
2022-03-30 15:18:25 INFO  FileWriter:27 - Создан файл Вьетнам.txt
2022-03-30 15:18:25 INFO  FileWriter:42 - Файл 'Вьетнам.txt' заполнен успешно
2022-03-30 15:18:27 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Турция
2022-03-30 15:18:27 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Индия
2022-03-30 15:18:34 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Пакистан
2022-03-30 15:18:44 INFO  FileWriter:35 - Старт заполнения файла 'Пакистан.txt'
2022-03-30 15:18:44 INFO  FileWriter:27 - Создан файл Пакистан.txt
2022-03-30 15:18:44 INFO  FileWriter:42 - Файл 'Пакистан.txt' заполнен успешно
2022-03-30 15:18:50 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Шри-Ланка
2022-03-30 15:19:04 INFO  FileWriter:35 - Старт заполнения файла 'Шри-Ланка.txt'
2022-03-30 15:19:04 INFO  FileWriter:27 - Создан файл Шри-Ланка.txt
2022-03-30 15:19:04 INFO  FileWriter:42 - Файл 'Шри-Ланка.txt' заполнен успешно
2022-03-30 15:19:12 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Иран
2022-03-30 15:19:34 INFO  FileWriter:35 - Старт заполнения файла 'Иран.txt'
2022-03-30 15:19:34 INFO  FileWriter:27 - Создан файл Иран.txt
2022-03-30 15:19:34 INFO  FileWriter:42 - Файл 'Иран.txt' заполнен успешно
2022-03-30 15:19:42 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Марокко
2022-03-30 15:20:04 INFO  FileWriter:35 - Старт заполнения файла 'Марокко.txt'
2022-03-30 15:20:04 INFO  FileWriter:27 - Создан файл Марокко.txt
2022-03-30 15:20:04 INFO  FileWriter:42 - Файл 'Марокко.txt' заполнен успешно
2022-03-30 15:20:09 INFO  FileWriter:35 - Старт заполнения файла 'Аргентина.txt'
2022-03-30 15:20:09 INFO  FileWriter:27 - Создан файл Аргентина.txt
2022-03-30 15:20:09 INFO  FileWriter:42 - Файл 'Аргентина.txt' заполнен успешно
2022-03-30 15:20:15 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Гамбия
2022-03-30 15:20:18 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Мали
2022-03-30 15:20:28 INFO  FileWriter:35 - Старт заполнения файла 'Гамбия.txt'
2022-03-30 15:20:28 INFO  FileWriter:27 - Создан файл Гамбия.txt
2022-03-30 15:20:28 INFO  FileWriter:42 - Файл 'Гамбия.txt' заполнен успешно
2022-03-30 15:20:35 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Гвинея
2022-03-30 15:20:38 INFO  FileWriter:35 - Старт заполнения файла 'Мали.txt'
2022-03-30 15:20:38 INFO  FileWriter:27 - Создан файл Мали.txt
2022-03-30 15:20:38 INFO  FileWriter:42 - Файл 'Мали.txt' заполнен успешно
2022-03-30 15:20:43 INFO  FileWriter:35 - Старт заполнения файла 'Египет.txt'
2022-03-30 15:20:43 INFO  FileWriter:27 - Создан файл Египет.txt
2022-03-30 15:20:43 INFO  FileWriter:42 - Файл 'Египет.txt' заполнен успешно
2022-03-30 15:20:44 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Кот-д’Ивуар
2022-03-30 15:20:50 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Буркина-Фасо
2022-03-30 15:20:52 INFO  FileWriter:35 - Старт заполнения файла 'Гвинея.txt'
2022-03-30 15:20:52 INFO  FileWriter:27 - Создан файл Гвинея.txt
2022-03-30 15:20:53 INFO  FileWriter:42 - Файл 'Гвинея.txt' заполнен успешно
2022-03-30 15:20:57 INFO  FileWriter:35 - Старт заполнения файла 'Кот-д’Ивуар.txt'
2022-03-30 15:20:57 INFO  FileWriter:27 - Создан файл Кот-д’Ивуар.txt
2022-03-30 15:20:57 INFO  FileWriter:42 - Файл 'Кот-д’Ивуар.txt' заполнен успешно
2022-03-30 15:20:58 INFO  FileWriter:35 - Старт заполнения файла 'Буркина-Фасо.txt'
2022-03-30 15:20:58 INFO  FileWriter:27 - Создан файл Буркина-Фасо.txt
2022-03-30 15:20:58 INFO  FileWriter:42 - Файл 'Буркина-Фасо.txt' заполнен успешно
2022-03-30 15:20:59 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Сиерре Лионе
2022-03-30 15:21:04 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Нигерия
2022-03-30 15:21:04 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Гана
2022-03-30 15:21:06 INFO  FileWriter:35 - Старт заполнения файла 'Сиерре Лионе.txt'
2022-03-30 15:21:06 INFO  FileWriter:27 - Создан файл Сиерре Лионе.txt
2022-03-30 15:21:06 INFO  FileWriter:42 - Файл 'Сиерре Лионе.txt' заполнен успешно
2022-03-30 15:21:14 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Чад
2022-03-30 15:21:18 INFO  FileWriter:35 - Старт заполнения файла 'Гана.txt'
2022-03-30 15:21:18 INFO  FileWriter:27 - Создан файл Гана.txt
2022-03-30 15:21:18 INFO  FileWriter:42 - Файл 'Гана.txt' заполнен успешно
2022-03-30 15:21:18 INFO  FileWriter:35 - Старт заполнения файла 'Нигерия.txt'
2022-03-30 15:21:18 INFO  FileWriter:27 - Создан файл Нигерия.txt
2022-03-30 15:21:18 INFO  FileWriter:42 - Файл 'Нигерия.txt' заполнен успешно
2022-03-30 15:21:26 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Камерун
2022-03-30 15:21:27 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Судан
2022-03-30 15:21:35 INFO  FileWriter:35 - Старт заполнения файла 'Мексика.txt'
2022-03-30 15:21:35 INFO  FileWriter:27 - Создан файл Мексика.txt
2022-03-30 15:21:35 INFO  FileWriter:42 - Файл 'Мексика.txt' заполнен успешно
2022-03-30 15:21:35 INFO  FileWriter:35 - Старт заполнения файла 'Венесуэла.txt'
2022-03-30 15:21:35 INFO  FileWriter:27 - Создан файл Венесуэла.txt
2022-03-30 15:21:35 INFO  FileWriter:42 - Файл 'Венесуэла.txt' заполнен успешно
2022-03-30 15:21:35 INFO  FileWriter:35 - Старт заполнения файла 'Чад.txt'
2022-03-30 15:21:35 INFO  FileWriter:27 - Создан файл Чад.txt
2022-03-30 15:21:35 INFO  FileWriter:42 - Файл 'Чад.txt' заполнен успешно
2022-03-30 15:21:35 INFO  FileWriter:35 - Старт заполнения файла 'Колумбия.txt'
2022-03-30 15:21:35 INFO  FileWriter:27 - Создан файл Колумбия.txt
2022-03-30 15:21:35 INFO  FileWriter:42 - Файл 'Колумбия.txt' заполнен успешно
2022-03-30 15:21:41 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Ирландия
2022-03-30 15:21:42 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Кения
